ts,Load_1,Load_2
2019-02-01 00:00:00,0.0310,0.0170
2019-02-01 00:15:00,0.0309,0.0167
2019-02-01 00:30:00,0.0301,0.0175
2019-02-01 00:45:00,0.0306,0.0190
2019-02-01 01:00:00,0.0315,0.0193
2019-02-01 01:15:00,0.0317,0.0199
2019-02-01 01:30:00,0.0311,0.0192
2019-02-01 01:45:00,0.0310,0.0179
2019-02-01 02:00:00,0.0304,0.0161
2019-02-01 02:15:00,0.0292,0.0141
2019-02-01 02:30:00,0.0282,0.0130
2019-02-01 02:45:00,0.0276,0.0119
2019-02-01 03:00:00,0.0267,0.0107
2019-02-01 03:15:00,0.0249,0.0097
2019-02-01 03:30:00,0.0240,0.0080
2019-02-01 03:45:00,0.0231,0.0075
2019-02-01 04:00:00,0.0220,0.0071
2019-02-01 04:15:00,0.0206,0.0068
2019-02-01 04:30:00,0.0182,0.0065
2019-02-01 04:45:00,0.0163,0.0062
2019-02-01 05:00:00,0.0144,0.0058
2019-02-01 05:15:00,0.0125,0.0052
2019-02-01 05:30:00,0.0116,0.0048
2019-02-01 05:45:00,0.0102,0.0057
2019-02-01 06:00:00,0.0108,0.0059
2019-02-01 06:15:00,0.0110,0.0077
2019-02-01 06:30:00,0.0133,0.0099
2019-02-01 06:45:00,0.0151,0.0122
2019-02-01 07:00:00,0.0188,0.0147
2019-02-01 07:15:00,0.0228,0.0180
2019-02-01 07:30:00,0.0272,0.0199
2019-02-01 07:45:00,0.0327,0.0222
2019-02-01 08:00:00,0.0383,0.0242
2019-02-01 08:15:00,0.0438,0.0257
2019-02-01 08:30:00,0.0501,0.0280
2019-02-01 08:45:00,0.0545,0.0292
2019-02-01 09:00:00,0.0583,0.0295
2019-02-01 09:15:00,0.0609,0.0300
2019-02-01 09:30:00,0.0623,0.0307
2019-02-01 09:45:00,0.0626,0.0304
2019-02-01 10:00:00,0.0628,0.0314
2019-02-01 10:15:00,0.0630,0.0314
2019-02-01 10:30:00,0.0624,0.0315
2019-02-01 10:45:00,0.0627,0.0324
2019-02-01 11:00:00,0.0630,0.0321
2019-02-01 11:15:00,0.0624,0.0317
2019-02-01 11:30:00,0.0633,0.0323
2019-02-01 11:45:00,0.0635,0.0318
2019-02-01 12:00:00,0.0638,0.0324
2019-02-01 12:15:00,0.0650,0.0331
2019-02-01 12:30:00,0.0663,0.0329
2019-02-01 12:45:00,0.0669,0.0338
2019-02-01 13:00:00,0.0679,0.0337
2019-02-01 13:15:00,0.0683,0.0335
2019-02-01 13:30:00,0.0682,0.0332
2019-02-01 13:45:00,0.0682,0.0322
2019-02-01 14:00:00,0.0675,0.0314
2019-02-01 14:15:00,0.0665,0.0318
2019-02-01 14:30:00,0.0654,0.0313
2019-02-01 14:45:00,0.0651,0.0307
2019-02-01 15:00:00,0.0639,0.0312
2019-02-01 15:15:00,0.0635,0.0304
2019-02-01 15:30:00,0.0631,0.0305
2019-02-01 15:45:00,0.0626,0.0294
2019-02-01 16:00:00,0.0618,0.0293
2019-02-01 16:15:00,0.0616,0.0290
2019-02-01 16:30:00,0.0613,0.0288
