ts,consumer1,consumer2
2019-02-01 00:00:00,318.9873,335.6796
2019-02-01 00:01:00,308.7713,345.1353
2019-02-01 00:02:00,284.7466,339.2303
2019-02-01 00:03:00,293.8033,322.1093
2019-02-01 00:04:00,317.1572,342.6671
2019-02-01 00:05:00,297.1872,338.9729
2019-02-01 00:06:00,271.6564,293.3249
2019-02-01 00:07:00,268.2418,301.8546
2019-02-01 00:08:00,301.6417,323.7086
2019-02-01 00:09:00,312.9104,323.5655
2019-02-01 00:10:00,312.2307,294.0507
2019-02-01 00:11:00,285.9507,291.5156
2019-02-01 00:12:00,294.3684,292.4698
2019-02-01 00:13:00,248.5748,274.8389
2019-02-01 00:14:00,270.5126,254.7702
2019-02-01 00:15:00,275.7224,257.7586
2019-02-01 00:16:00,311.8656,350.1728
2019-02-01 00:17:00,297.0264,309.8155
2019-02-01 00:18:00,305.3899,328.3163
2019-02-01 00:19:00,330.3410,300.7996
2019-02-01 00:20:00,294.7486,296.8702
2019-02-01 00:21:00,272.9707,298.0702
2019-02-01 00:22:00,265.9311,287.0666
2019-02-01 00:23:00,299.3374,329.4548
2019-02-01 00:24:00,290.0289,296.7643
2019-02-01 00:25:00,306.1285,307.2119
2019-02-01 00:26:00,279.2412,276.1019
2019-02-01 00:27:00,300.0792,291.8195
2019-02-01 00:28:00,284.8991,298.4372
2019-02-01 00:29:00,278.4903,281.9986
2019-02-01 00:30:00,262.5516,280.5367
2019-02-01 00:31:00,327.5891,317.8016
2019-02-01 00:32:00,312.4398,302.1213
2019-02-01 00:33:00,305.0302,317.7177
2019-02-01 00:34:00,302.1249,314.0430
2019-02-01 00:35:00,271.3674,292.5540
2019-02-01 00:36:00,266.8080,302.3055
2019-02-01 00:37:00,269.8625,261.8391
2019-02-01 00:38:00,310.6521,287.6148
2019-02-01 00:39:00,302.3087,280.9818
2019-02-01 00:40:00,301.2448,277.7063
2019-02-01 00:41:00,289.5911,283.8946
2019-02-01 00:42:00,294.9249,301.0202
2019-02-01 00:43:00,282.3799,271.0010
2019-02-01 00:44:00,281.5095,253.6965
2019-02-01 00:45:00,278.6662,247.6006
2019-02-01 00:46:00,336.6155,296.5442
2019-02-01 00:47:00,307.7095,299.0977
2019-02-01 00:48:00,305.3425,268.7372
2019-02-01 00:49:00,314.0191,280.3491
2019-02-01 00:50:00,319.4733,276.4466
2019-02-01 00:51:00,320.0465,284.9278
2019-02-01 00:52:00,274.4580,265.7267
2019-02-01 00:53:00,300.0024,299.5454
2019-02-01 00:54:00,290.9356,287.7866
2019-02-01 00:55:00,275.7446,282.1817
2019-02-01 00:56:00,262.1061,270.8969
2019-02-01 00:57:00,284.6991,263.2184
2019-02-01 00:58:00,265.1775,282.3986
2019-02-01 00:59:00,249.0514,258.1482
2019-02-01 01:00:00,267.7347,255.6498
2019-02-01 01:01:00,346.7048,369.3370
2019-02-01 01:02:00,338.4226,344.8840
2019-02-01 01:03:00,328.6103,318.3498
2019-02-01 01:04:00,294.7802,341.3951
2019-02-01 01:05:00,309.5490,312.1859
2019-02-01 01:06:00,310.4508,301.7772
2019-02-01 01:07:00,283.7729,284.7111
2019-02-01 01:08:00,324.9917,316.6165
2019-02-01 01:09:00,315.3942,326.1438
2019-02-01 01:10:00,313.9280,321.9863
2019-02-01 01:11:00,309.7042,320.7219
2019-02-01 01:12:00,299.9623,324.2778
2019-02-01 01:13:00,292.2161,308.9378
2019-02-01 01:14:00,282.8136,303.1202
2019-02-01 01:15:00,281.6071,308.4047
2019-02-01 01:16:00,337.0451,326.5670
2019-02-01 01:17:00,296.7474,334.1140
2019-02-01 01:18:00,314.0021,320.1531
2019-02-01 01:19:00,290.5966,308.9671
2019-02-01 01:20:00,300.0796,303.1465
2019-02-01 01:21:00,282.9309,270.6371
2019-02-01 01:22:00,283.2258,276.5028
